model_name,threshold,total_samples,positive_samples,predicted_positive,accuracy,precision,recall,f1_score,avg_probability
logistic,0.3,42,0,0,1.0,0.0,0,0,0.0472949978697859
logistic,0.4,42,0,0,1.0,0.0,0,0,0.0472949978697859
logistic,0.5,42,0,0,1.0,0.0,0,0,0.0472949978697859
logistic,0.6,42,0,0,1.0,0.0,0,0,0.0472949978697859
logistic,0.7,42,0,0,1.0,0.0,0,0,0.0472949978697859
random_forest,0.3,42,0,3,0.9285714285714286,0.0,0,0,0.05047619047619048
random_forest,0.4,42,0,3,0.9285714285714286,0.0,0,0,0.05047619047619048
random_forest,0.5,42,0,3,0.9285714285714286,0.0,0,0,0.05047619047619048
random_forest,0.6,42,0,2,0.9523809523809523,0.0,0,0,0.05047619047619048
random_forest,0.7,42,0,0,1.0,0.0,0,0,0.05047619047619048
xgboost,0.3,42,0,0,1.0,0.0,0,0,0.040983546525239944
xgboost,0.4,42,0,0,1.0,0.0,0,0,0.040983546525239944
xgboost,0.5,42,0,0,1.0,0.0,0,0,0.040983546525239944
xgboost,0.6,42,0,0,1.0,0.0,0,0,0.040983546525239944
xgboost,0.7,42,0,0,1.0,0.0,0,0,0.040983546525239944
