stock,trade_count
600045.SH,8
000003.SZ,8
000038.SZ,7
000042.SZ,7
000045.SZ,7
600029.SH,7
000024.SZ,7
000035.SZ,7
000040.SZ,6
600030.SH,6
000031.SZ,6
000008.SZ,6
600039.SH,6
000033.SZ,6
600022.SH,6
000017.SZ,6
000030.SZ,6
600006.SH,6
000012.SZ,6
600010.SH,6
000029.SZ,6
600034.SH,5
600014.SH,5
600025.SH,5
600026.SH,5
600040.SH,5
000039.SZ,5
600046.SH,5
000027.SZ,5
000021.SZ,5
600004.SH,5
000049.SZ,5
600015.SH,5
000026.SZ,5
600012.SH,5
000050.SZ,5
600016.SH,5
000007.SZ,4
000009.SZ,4
600019.SH,4
000020.SZ,4
000037.SZ,4
000005.SZ,4
000010.SZ,4
600027.SH,4
000043.SZ,4
000019.SZ,4
000036.SZ,4
600009.SH,4
600036.SH,4
600031.SH,4
600005.SH,4
600007.SH,4
600008.SH,4
000025.SZ,4
000006.SZ,4
000022.SZ,4
000002.SZ,3
000014.SZ,3
000044.SZ,3
600020.SH,3
600044.SH,3
600017.SH,3
600013.SH,3
600048.SH,3
000023.SZ,3
000034.SZ,3
000016.SZ,3
600050.SH,3
000013.SZ,3
000018.SZ,3
600042.SH,3
000011.SZ,3
000015.SZ,3
600049.SH,3
600018.SH,3
600035.SH,3
600032.SH,3
600037.SH,3
600038.SH,3
000001.SZ,3
600002.SH,3
600001.SH,3
000048.SZ,3
000046.SZ,3
000047.SZ,3
600047.SH,3
000004.SZ,3
600041.SH,2
000041.SZ,2
600033.SH,2
600028.SH,2
600021.SH,2
600011.SH,2
600003.SH,2
600024.SH,2
600023.SH,2
000028.SZ,2
600043.SH,1
000032.SZ,1
